Year,Target Net Take-Home ($)
2026,57828.5
2027,58883.35
2028,59959.29699999999
2029,64114.99074000001
2030,65387.75055480001
2031,66685.96556589601
2032,68010.14487721391
2033,69360.8077747582
2034,70738.48393025337
2035,72143.71360885842
2036,73577.0478810356
2037,75039.04883865632
2038,76530.28981542944
2039,78051.35561173802
2040,79602.84272397279
2041,81156.46083406042
2042,82576.15005074162
2043,84024.23305175646
2044,85501.27771279158
2045,87007.86326704742
2046,88544.58053238835
2047,90112.03214303614
2048,91710.83278589686
2049,93341.60944161478
2050,95005.00163044709
2051,96701.66166305602
2052,98432.25489631714
2053,100197.45999424349
2054,101997.96919412837
2055,103834.48857801093
2056,105707.73834957115
2057,107618.45311656257
2058,109567.38217889384
